Toss Winning,,,Matches Won,,,Matches won by individual Players,,,Count of Win by Runs and Wickets,,,,Umpire -1 ,,,Umpire-2 ,,,,,,
Toss Winners,Count of season,,Teams,Count of Years (date),,Team Players,Count of Winning seasons,,Row Labels,Count of win_by_wickets,Count of win_by_runs,,Name,Total count of matches,,Name,Total Count of matches,,Seasons,Column Labels,,
,,,,,,ML Hayden,4,,,,,,SJA Taufel,1,,SJ Davis,1,,,,,
,,,,,,SPD Smith,4,,,,,,SL Shastri,1,,Subroto Das,1,,,,,
,,,,,,AR Patel,4,,,,,,Grand Total,636,,JD Cloete,1,,,,,
,,,,,,PA Patel,4,,,,,,,,,Grand Total,636,,,,,
,,,,,,MK Pandey,4,,,,,,,,,,,,,,,
,,,,,,SK Warne,4,,,,,,,,,,,,,,,
,,,,,,JD Unadkat,4,,,,,,,,,,,,,,,
,,,,,,JP Duminy,4,,,,,,,,,,,,,,,
,,,,,,NM Coulter-Nile,4,,,,,,,,,,,,,,,
,,,,,,KD Karthik,4,,,,,,,,,,,,,,,
,,,,,,KH Pandya,4,,,,,,,,,,,,,,,
,,,,,,Mandeep Singh,3,,,,,,,,,,,,,,,
,,,,,,LMP Simmons,3,,,,,,,,,,,,,,,
,,,,,,R Vinay Kumar,3,,,,,,,,,,,,,,,
,,,,,,BA Stokes,3,,,,,,,,,,,,,,,
,,,,,,A Symonds,3,,,,,,,,,,,,,,,
,,,,,,CJ Anderson,3,,,,,,,,,,,,,,,
,,,,,,PP Chawla,3,,,,,,,,,,,,,,,
,,,,,,MK Tiwary,3,,,,,,,,,,,,,,,
,,,,,,SV Samson,3,,,,,,,,,,,,,,,
,,,,,,DA Miller,3,,,,,,,,,,,,,,,
,,,,,,LRPL Taylor,3,,,,,,,,,,,,,,,
,,,,,,A Kumble,3,,,,,,,,,,,,,,,
,,,,,,WP Saha,3,,,,,,,,,,,,,,,
,,,,,,KP Pietersen,3,,,,,,,,,,,,,,,
,,,,,,L Balaji,3,,,,,,,,,,,,,,,
,,,,,,KK Nair,3,,,,,,,,,,,,,,,
,,,,,,M Vohra,3,,,,,,,,,,,,,,,
,,,,,,GC Smith,2,,,,,,,,,,,,,,,
,,,,,,Azhar Mahmood,2,,,,,,,,,,,,,,,
,,,,,,HH Pandya,2,,,,,,,,,,,,,,,
,,,,,,BW Hilfenhaus,2,,,,,,,,,,,,,,,
,,,,,,F du Plessis,2,,,,,,,,,,,,,,,
,,,,,,CA Lynn,2,,,,,,,,,,,,,,,
,,,,,,SK Trivedi,2,,,,,,,,,,,,,,,
,,,,,,AJ Tye,2,,,,,,,,,,,,,,,
,,,,,,I Sharma,2,,,,,,,,,,,,,,,
,,,,,,CH Morris,2,,,,,,,,,,,,,,,
,,,,,,R Dravid,2,,,,,,,,,,,,,,,
,,,,,,AB Dinda,2,,,,,,,,,,,,,,,
,,,,,,B Lee,2,,,,,,,,,,,,,,,
,,,,,,KM Jadhav,2,,,,,,,,,,,,,,,
,,,,,,GH Vihari,2,,,,,,,,,,,,,,,
,,,,,,M Morkel,2,,,,,,,,,,,,,,,
,,,,,,SM Pollock,2,,,,,,,,,,,,,,,
,,,,,,M Muralitharan,2,,,,,,,,,,,,,,,
,,,,,,SS Iyer,2,,,,,,,,,,,,,,,
,,,,,,M Ntini,2,,,,,,,,,,,,,,,
,,,,,,Iqbal Abdulla,2,,,,,,,,,,,,,,,
,,,,,,DE Bollinger,2,,,,,,,,,,,,,,,
,,,,,,PV Tambe,2,,,,,,,,,,,,,,,
,,,,,,DJ Bravo,2,,,,,,,,,,,,,,,
,,,,,,R Sharma,2,,,,,,,,,,,,,,,
,,,,,,MC Henriques,2,,,,,,,,,,,,,,,
,,,,,,Rashid Khan,2,,,,,,,,,,,,,,,
,,,,,,MG Johnson,2,,,,,,,,,,,,,,,
,,,,,,RR Pant,2,,,,,,,,,,,,,,,
,,,,,,MJ McClenaghan,2,,,,,,,,,,,,,,,
,,,,,,S Dhawan,2,,,,,,,,,,,,,,,
,,,,,,DJ Hussey,2,,,,,,,,,,,,,,,
,,,,,,Shakib Al Hasan,2,,,,,,,,,,,,,,,
,,,,,,MM Patel,2,,,,,,,,,,,,,,,
,,,,,,Harmeet Singh,2,,,,,,,,,,,,,,,
,,,,,,MM Sharma,2,,,,,,,,,,,,,,,
,,,,,,Sohail Tanvir,2,,,,,,,,,,,,,,,
,,,,,,MP Stoinis,2,,,,,,,,,,,,,,,
,,,,,,HM Amla,2,,,,,,,,,,,,,,,
,,,,,,MV Boucher,2,,,,,,,,,,,,,,,
,,,,,,ST Jayasuriya,2,,,,,,,,,,,,,,,
,,,,,,N Rana,2,,,,,,,,,,,,,,,
,,,,,,IK Pathan,2,,,,,,,,,,,,,,,
,,,,,,P Kumar,2,,,,,,,,,,,,,,,
,,,,,,JA Morkel,2,,,,,,,,,,,,,,,
,,,,,,P Negi,2,,,,,,,,,,,,,,,
,,,,,,PC Valthaty,2,,,,,,,,,,,,,,,
,,,,,,MJ Lumb,1,,,,,,,,,,,,,,,
,,,,,,GD McGrath,1,,,,,,,,,,,,,,,
,,,,,,WPUJC Vaas,1,,,,,,,,,,,,,,,
,,,,,,Mohammed Siraj,1,,,,,,,,,,,,,,,
,,,,,,MD Mishra,1,,,,,,,,,,,,,,,
,,,,,,KV Sharma,1,,,,,,,,,,,,,,,
,,,,,,TM Dilshan,1,,,,,,,,,,,,,,,
,,,,,,MR Marsh,1,,,,,,,,,,,,,,,
,,,,,,S Sohal,1,,,,,,,,,,,,,,,
,,,,,,MS Bisla,1,,,,,,,,,,,,,,,
,,,,,,GJ Bailey,1,,,,,,,,,,,,,,,
,,,,,,DP Nannes,1,,,,,,,,,,,,,,,
,,,,,,MF Maharoof,1,,,,,,,,,,,,,,,
,,,,,,MS Gony,1,,,,,,,,,,,,,,,
,,,,,,DJG Sammy,1,,,,,,,,,,,,,,,
,,,,,,Mustafizur Rahman,1,,,,,,,,,,,,,,,
,,,,,,J Botha,1,,,,,,,,,,,,,,,
,,,,,,CRD Fernando,1,,,,,,,,,,,,,,,
,,,,,,MA Starc,1,,,,,,,,,,,,,,,
,,,,,,LH Ferguson,1,,,,,,,,,,,,,,,
,,,,,,SA Asnodkar,1,,,,,,,,,,,,,,,
,,,,,,AC Voges,1,,,,,,,,,,,,,,,
,,,,,,SB Wagh,1,,,,,,,,,,,,,,,
,,,,,,NV Ojha,1,,,,,,,,,,,,,,,
,,,,,,Shoaib Akhtar,1,,,,,,,,,,,,,,,
,,,,,,LJ Wright,1,,,,,,,,,,,,,,,
,,,,,,DJ Hooda,1,,,,,,,,,,,,,,,
,,,,,,AP Tare,1,,,,,,,,,,,,,,,
,,,,,,SP Goswami,1,,,,,,,,,,,,,,,
,,,,,,P Parameswaran,1,,,,,,,,,,,,,,,
,,,,,,HV Patel,1,,,,,,,,,,,,,,,
,,,,,,LR Shukla,1,,,,,,,,,,,,,,,
,,,,,,TA Boult,1,,,,,,,,,,,,,,,
,,,,,,YS Chahal,1,,,,,,,,,,,,,,,
,,,,,,CR Brathwaite,1,,,,,,,,,,,,,,,
,,,,,,JC Buttler,1,,,,,,,,,,,,,,,
,,,,,,Washington Sundar,1,,,,,,,,,,,,,,,
,,,,,,JD Ryder,1,,,,,,,,,,,,,,,
,,,,,,Mohammed Shami,1,,,,,,,,,,,,,,,
,,,,,,PP Ojha,1,,,,,,,,,,,,,,,
,,,,,,S Nadeem,1,,,,,,,,,,,,,,,
,,,,,,A Zampa,1,,,,,,,,,,,,,,,
,,,,,,S Sreesanth,1,,,,,,,,,,,,,,,
,,,,,,Q de Kock,1,,,,,,,,,,,,,,,
,,,,,,SA Yadav,1,,,,,,,,,,,,,,,
,,,,,,R Ashwin,1,,,,,,,,,,,,,,,
,,,,,,SB Jakati,1,,,,,,,,,,,,,,,
,,,,,,R Bhatia,1,,,,,,,,,,,,,,,
,,,,,,JJ Bumrah,1,,,,,,,,,,,,,,,
,,,,,,M Kartik,1,,,,,,,,,,,,,,,
,,,,,,KK Cooper,1,,,,,,,,,,,,,,,
,,,,,,R McLaren,1,,,,,,,,,,,,,,,
,,,,,,BA Bhatt,1,,,,,,,,,,,,,,,
,,,,,,AA Jhunjhunwala,1,,,,,,,,,,,,,,,
,,,,,,AD Mathews,1,,,,,,,,,,,,,,,
,,,,,,EJG Morgan,1,,,,,,,,,,,,,,,
,,,,,,SM Katich,1,,,,,,,,,,,,,,,
,,,,,,JDP Oram,1,,,,,,,,,,,,,,,
,,,,,,CL White,1,,,,,,,,,,,,,,,
,,,,,,RA Tripathi,1,,,,,,,,,,,,,,,
,,,,,,HH Gibbs,1,,,,,,,,,,,,,,,
,,,,,,JEC Franklin,1,,,,,,,,,,,,,,,
,,,,,,A Singh,1,,,,,,,,,,,,,,,
,,,,,,RE Levi,1,,,,,,,,,,,,,,,
,,,,,,KMDN Kulasekara,1,,,,,,,,,,,,,,,
,,,,,,BCJ Cutting,1,,,,,,,,,,,,,,,
,,,,,,DL Vettori,1,,,,,,,,,,,,,,,
,,,,,,RJ Harris,1,,,,,,,,,,,,,,,
,,,,,,TL Suman,1,,,,,,,,,,,,,,,
,,,,,,RP Singh,1,,,,,,,,,,,,,,,
,,,,,,Umar Gul,1,,,,,,,,,,,,,,,
,,,,,,A Chandila,1,,,,,,,,,,,,,,,
,,,,,,KS Williamson,1,,,,,,,,,,,,,,,
,,,,,,RS Bopara,1,,,,,,,,,,,,,,,
,,,,,,VR Aaron,1,,,,,,,,,,,,,,,
,,,,,,MA Agarwal,1,,,,,,,,,,,,,,,
,,,,,,J Theron,1,,,,,,,,,,,,,,,
,,,,,,S Anirudha,1,,,,,,,,,,,,,,,
,,,,,,MN Samuels,1,,,,,,,,,,,,,,,
,,,,,,S Aravind,1,,,,,,,,,,,,,,,
,,,,,,S Badrinath,1,,,,,,,,,,,,,,,
,,,,,,Z Khan,1,,,,,,,,,,,,,,,
,,,,,,PD Collingwood,1,,,,,,,,,,,,,,,
,,,,,,AD Mascarenhas,1,,,,,,,,,,,,,,,
,,,,,,(blank),,,,,,,,,,,,,,,,
,,,,,,Grand Total,636,,,,,,,,,,,,,,,
